bits per pixel,db_quant
2.6237220764160156,-55
2.8811569213867188,-45
0.7682991027832031,-35
0.3414573669433594,-10
2.4235916137695312,-55
2.6380958557128906,-45
1.4928398132324219,-35
0.5273056030273438,-10
1.6615409851074219,-55
2.0465927124023438,-45
1.8189468383789062,-35
0.2786064147949219,-10
3.0350570678710938,-55
3.5313034057617188,-45
0.8021812438964844,-35
0.2964630126953125,-10
3.003559112548828,-55
2.5205726623535156,-45
1.6583290100097656,-35
0.27605438232421875,-10
2.5941390991210938,-55
1.4188461303710938,-45
1.3175468444824219,-35
0.37511444091796875,-10
1.6877479553222656,-55
0.7044563293457031,-45
1.2266616821289062,-35
0.21702194213867188,-10
1.6807441711425781,-55
2.5866127014160156,-45
1.2987861633300781,-35
0.054546356201171875,-10
1.51678466796875,-55
1.8628120422363281,-45
1.5765953063964844,-35
0.5641288757324219,-10
0.8515701293945312,-55
2.478790283203125,-45
1.5999946594238281,-35
0.3409271240234375,-10
1.7004852294921875,-55
1.9443473815917969,-45
1.7310218811035156,-35
0.22245407104492188,-10
2.4452857971191406,-55
1.8335113525390625,-45
1.2266616821289062,-35
0.15093612670898438,-10
0.8493919372558594,-55
2.2710609436035156,-45
1.4031906127929688,-35
0.41504669189453125,-10
2.202983856201172,-55
2.2933120727539062,-45
1.2139358520507812,-35
0.29645538330078125,-10
0.905731201171875,-55
1.6816368103027344,-45
0.4897956848144531,-35
0.182098388671875,-10
1.7916755676269531,-55
0.6725616455078125,-45
1.0428314208984375,-35
0.5755500793457031,-10
1.811309814453125,-55
0.9973716735839844,-45
1.0150070190429688,-35
0.3982963562011719,-10
1.776611328125,-55
1.4149971008300781,-45
0.6496543884277344,-35
0.27289581298828125,-10
2.263103485107422,-55
0.6720466613769531,-45
1.5635871887207031,-35
0.3381500244140625,-10
2.0307884216308594,-55
1.3145484924316406,-45
0.3171424865722656,-35
0.61248779296875,-10
1.2759056091308594,-55
2.1290054321289062,-45
0.6060142517089844,-35
0.12477874755859375,-10
2.4654312133789062,-55
1.9410018920898438,-45
1.9263458251953125,-35
0.16403579711914062,-10
0.5583076477050781,-55
1.4345550537109375,-45
2.275920867919922,-35
0.557098388671875,-10
1.2212448120117188,-55
3.6050643920898438,-45
0.47374725341796875,-35
0.15359115600585938,-10
3.1973419189453125,-55
1.7603111267089844,-45
0.8454475402832031,-35
0.2388458251953125,-10
2.7255096435546875,-55
3.0703277587890625,-45
1.49310302734375,-35
0.13939666748046875,-10
1.7303085327148438,-55
1.6842918395996094,-45
1.0478935241699219,-35
0.21030807495117188,-10
4.247745513916016,-55
1.2249984741210938,-45
1.9669952392578125,-35
0.4821205139160156,-10
3.2370948791503906,-55
1.1863937377929688,-45
